"","date","SQ","PYPL","MA","V","index"
"1867",2023-04-21,-0.298214415770451,-0.464992015787959,1.02956252515978,1.12165486769328,1.38801096129465
"1868",2023-04-24,-0.281780287073967,-0.4561646737245,1.03173336583154,1.11218666060311,1.40597506563619
"1869",2023-04-25,-0.266811650517942,-0.45454617694508,1.02712039369469,1.08997597494697,1.39573854117864
"1870",2023-04-26,-0.31816688249124,-0.491465643087599,0.971046770316778,1.03538503685794,1.19679928159588
"1871",2023-04-27,-0.324474542666739,-0.487348462448323,0.955036748370481,1.01058573444673,1.15379947770215
"1872",2023-04-28,-0.324327826512807,-0.454840513501189,1.01753296039944,1.02539626644973,1.26376088683518
"1873",2023-05-01,-0.321247405502603,-0.429381180205125,1.07507873357796,1.08945942391909,1.41390957178932
"1874",2023-05-02,-0.329608335804856,-0.442479840606698,1.07353952170477,1.08567115530846,1.38712250060168
"1875",2023-05-03,-0.36568266282012,-0.484113254305753,1.03887984802075,0.990437939951948,1.17952187084683
"1876",2023-05-04,-0.342808189957412,-0.496611604581765,1.02865793228897,0.973219515826164,1.16245765357596
"1877",2023-05-05,-0.326528095252649,-0.491024549851151,1.03969400762773,0.966677297515092,1.18881866003903
"1878",2023-05-08,-0.343834750249879,-0.444540088649233,1.11702766902961,1.0731005164545,1.401753346585
"1879",2023-05-09,-0.350433787052642,-0.436445955741126,1.1247368392398,1.08084963718535,1.41870673363138
"1880",2023-05-10,-0.342808189957412,-0.577750972687337,1.10143621443698,1.09858521096186,1.27946226275409
"1881",2023-05-11,-0.36905456101702,-0.61475783551138,1.09781179016575,1.06431788078196,1.17831727441931
"1882",2023-05-12,-0.372279668158196,-0.603038966717926,1.10551448761086,1.05984013449888,1.19003598723362
"1883",2023-05-15,-0.397928499112912,-0.63949361732346,1.09219487352765,1.0662122309799,1.12098498807118
"1884",2023-05-16,-0.378729527635968,-0.631300333056573,1.10569565622848,1.0908369769561,1.18650277249204
"1885",2023-05-17,-0.398221573301063,-0.652508167524136,1.07697997980691,1.05054050115232,1.07679074013403
"1886",2023-05-18,-0.36568266282012,-0.642857746019288,1.13825757015834,1.08808185937675,1.21779902069569
"1887",2023-05-19,-0.339875064115332,-0.645636365986098,1.1838909990136,1.1044393454036,1.30281891431577
